,DNA damage checkpoint,DNA replication,condensed chromosome kinetochore,mitotic G2 DNA damage checkpoint,COPI vesicle coat,microtubule-based movement,Fanconi anaemia nuclear complex,MCM complex,centrosome cycle,cellular senescence,p53 binding,execution phase of apoptosis,DNA replication origin binding,SMC56 ,Condensin,Cohesin
0,RAD9A,DUT,CKAP5,CDK5RAP3,ARCN1,KIF20B,FANCE,MCM6,HAUS7,TERF2,GATA1,CASP10,POLA1,EID3,H2AFV,MAU2
1,RHNO1,CLSPN,SEPTIN2,MRE11,COPG1,KIF27,CENPS,MCM3,CEP120,ID2,TRIAP1,BBC3,ORC4,NDNL2,H2AFZ,NIPBL
2,RAD17,NAP1L1,DYNC1LI1,TRIM39,COPZ1,KIF6,CORT,MMS22L,XRCC2,CALR,TAF9,HTRA2,MCM8,NSMCE1,HIST3H3,PDS5A
3,MAPK14,BLM,NUP133,CLSPN,SCYL1,RACGAP1,FANCM,MCM4,HAUS4,TBX3,TP53BP1,TAOK1,ORC3,NSMCE2,NCAPD2,PDS5B
4,CLSPN,REPIN1,NUDCD2,TAOK2,COPG2,KIF1C,FANCL,MCM8,PARD6B,MAGEA2,KDM1A,CASP12,MCM4,NSMCE4A,NCAPD3,RAD21
5,E2F1,NFIC,NDEL1,BLM,COPZ2,KIF22,FANCG,MCM5,CDK1,PML,POU4F2,COLEC11,MCM5,SMC5,NCAPG,SMC1A
6,MAP3K20,POLD1,NUP43,BRSK1,COPE,KIF1A,FAAP20,MCM7,GOLGA2,MAP2K1,STK11,CASP6,MCM9,SMC6,NCAPH,SMC3
7,ATM,TBRG1,NUP37,NOP53,COPA,KIF3B,CENPX,MCM2,NUP62,PRKCD,TP63,STK24,DHX9,,NCAPH2,STAG1
8,PTPN11,POLE3,HSF1,FOXO4,TMED7,DNAH11,FANCC,TONSL,PCLAF,ULK3,TP73,CASP4,CDC45,,PLK1,STAG2
9,ERCC6,ORC4,KNTC1,MRNIP,DIPK2A,DYNC1LI1,FANCB,MCMBP,HAUS1,PRMT6,KMT5A,CASP1,MCM10,,SMC2,STAG3
10,H2AX,ING5,KNSTRN,FOXN3,COPB2,KIF24,FAAP100,MCMDC2,SLC16A1,TBX2,ANKRD1,CASP2,ORC2,,SMC4,WAPAL
11,HINFP,RNASEH2A,NUP107,CDKN1A,COPB1,KIF5A,FANCA,MCM9,CEP44,CDKN2A,PRMT5,CASP5,KAT7,,,
12,USP28,BARD1,AHCTF1,DONSON,TMED3,DNAI2,FANCF,,FES,SMC6,PSME3,CASP3,HSPD1,,,
13,INTS7,FAM111B,CLASP2,TAOK3,,KIF13B,FAAP24,,UXT,CDKN2B,PPP1R13B,CASP9,MCM7,,,
14,CHEK2,RAD9B,CENPN,TAOK1,,KIF23,,,BBS4,SMC5,BRD4,MADD,ORC5,,,
15,DOT1L,CDC45,DCTN6,HMGA2,,DNAH1,,,ARL2,CDKN1A,MSX1,CECR2,ORC1,,,
16,DONSON,FEN1,CLASP1,SYF2,,DNAH14,,,PCM1,SRF,EP300,CASP7,CDC6,,,
17,CEP63,ORC2,CSNK1A1,TOPBP1,,DYNC2I1,,,HEPACAM2,ECRG4,DAXX,CIDEB,MCM2,,,
18,HUS1,DTD1,ERCC6L,CDK1,,DYNLRB2,,,CROCCP2,H2AX,HSPD1,CASP8,GRWD1,,,
19,BRIP1,POLE,CHAMP1,NBN,,KIF18B,,,CDK5RAP2,KAT6A,RNF125,AIFM3,MCM3,,,
20,EIF2AK4,RFC4,CDT1,TICRR,,DNAH17,,,CEP68,OPA1,MUC1,CIDEC,MCMDC2,,,
21,TP53BP1,KAT5,MEAF6,,,DNAH12,,,CROCC,NSMCE2,SMARCA4,CASP14,DDX11,,,
22,RAD1,GRWD1,KIF2B,,,KIF16B,,,PLK1,HRAS,SETD7,DNM1L,MCM6,,,
23,CLOCK,IGHMBP2,DSN1,,,KIF19,,,CROCCP3,,SIRT1,CFLAR,,,,
24,ATRIP,CHAF1B,PHF2,,,KIF1B,,,PPP1R12A,,RNF20,AKT1,,,,
25,FBXO6,LIG4,MAD2L1,,,KIFC2,,,GADD45A,,RFWD3,BNIP1,,,,
26,TIPRL,SDE2,ZWILCH,,,DYNC2H1,,,UVRAG,,CREBBP,,,,,
27,ATR,TOPBP1,CENPH,,,DYNC1I1,,,HAUS6,,USP10,,,,,
28,NBN,POLD2,CENPE,,,DNAI1,,,TUBE1,,MAPKAPK5,,,,,
29,CHEK1,CDC6,CENPW,,,KIF5C,,,SSX2IP,,HIF1A,,,,,
30,RPA4,TOP1MT,CFDP1,,,KIF2A,,,HAUS8,,TRIM24,,,,,
31,,ORC3,SMC1A,,,KIF12,,,HAUS2,,BLM,,,,,
32,,ING4,SEPTIN6,,,DNAH9,,,CKAP5,,TEP1,,,,,
33,,ATR,CENPV,,,DYNC1LI2,,,SDCCAG8,,RNF34,,,,,
34,,KIN,PMF1,,,DNAH7,,,CHD3,,CDKN2AIP,,,,,
35,,RPA4,SGO1,,,DNAL4,,,PARD6G,,PTTG1IP,,,,,
36,,CHAF1A,LRWD1,,,KIFAP3,,,CETN3,,EHMT2,,,,,
37,,POLK,HJURP,,,KIF3C,,,KIAA1614,,EHMT1,,,,,
38,,DNAJC2,NDC80,,,KIF14,,,PARD6A,,TAF1,,,,,
39,,DTL,RANGAP1,,,KIF26B,,,HAUS5,,USP7,,,,,
40,,MCM3,TP53BP1,,,DNAI3,,,HAUS3,,BCL2L12,,,,,
41,,RAD17,FBXO28,,,KIF21A,,,NPM1,,SMARCB1,,,,,
42,,STRA8,CENPM,,,DYNC2I2,,,BRCA1,,NOP53,,,,,
43,,RMI1,HNRNPU,,,KIF13A,,,,,TP53BP2,,,,,
44,,RECQL4,DCTN3,,,KIF15,,,,,ZNF385B,,,,,
45,,ATM,SEPTIN7,,,KIF11,,,,,HTT,,,,,
46,,RPA3,MIS12,,,KIF4A,,,,,PLK3,,,,,
47,,ORC6,KIF2C,,,ACTR10,,,,,GSK3B,,,,,
48,,RAD50,NSL1,,,KIFC3,,,,,HDAC1,,,,,
49,,TOP3A,KNL1,,,KIF28P,,,,,TRIM29,,,,,
50,,POLA1,NEK2,,,KTN1,,,,,CDK5,,,,,
51,,CCDC88A,BIRC5,,,DNHD1,,,,,TP53RK,,,,,
52,,CHTF8,BUB3,,,KIFC1,,,,,TP53,,,,,
53,,RRM2,SGO2,,,DYNC1I2,,,,,MDM2,,,,,
54,,CHTF18,PPP1CC,,,KIF21B,,,,,NTRK3,,,,,
55,,CINP,NUP85,,,BICD2,,,,,MUL1,,,,,
56,,MCM5,SEH1L,,,KIF26A,,,,,RFFL,,,,,
57,,DONSON,BUB1B,,,DYNC1H1,,,,,SMYD2,,,,,
58,,NFIX,INCENP,,,KIF3A,,,,,ZNF385A,,,,,
59,,HUS1,BUB1,,,DNAI4,,,,,DUSP26,,,,,
60,,ATRIP,ITGB3BP,,,KIF18A,,,,,NUAK1,,,,,
61,,ORC5,ANAPC16,,,KIF4B,,,,,TAF3,,,,,
62,,RAD1,SPOUT1,,,KLC1,,,,,RCHY1,,,,,
63,,E4F1,DCTN5,,,KIF20A,,,,,BRD7,,,,,
64,,POLH,KANSL1,,,KIF2B,,,,,EEF2,,,,,
65,,RRM1,CENPX,,,DYNLRB1,,,,,CHD8,,,,,
66,,MCM8,ZWINT,,,KIF5B,,,,,,,,,,
67,,CHEK1,ZW10,,,DNAH10,,,,,,,,,,
68,,BRCA1,NDE1,,,KLC2,,,,,,,,,,
69,,REV1,PINX1,,,DNAH5,,,,,,,,,,
70,,RFC3,DYNLT3,,,DNAH8,,,,,,,,,,
71,,FAM111A,SPC24,,,DNAH6,,,,,,,,,,
72,,RPA2,TEX14,,,DNAH2,,,,,,,,,,
73,,RAD9A,SPC25,,,KIF17,,,,,,,,,,
74,,RBBP6,SS18L1,,,KIF25,,,,,,,,,,
75,,RHNO1,CENPS,,,KIF7,,,,,,,,,,
76,,ORC1,GPATCH11,,,KIF9,,,,,,,,,,
77,,NT5M,PHF6,,,DNAH3,,,,,,,,,,
78,,SIN3A,ZNF276,,,KIF2C,,,,,,,,,,
79,,RBBP8,DYNC1I1,,,CENPE,,,,,,,,,,
80,,RFC2,MEIKIN,,,STARD9,,,,,,,,,,
81,,POLL,RASSF2,,,,,,,,,,,,,
82,,KAT7,SPAG5,,,,,,,,,,,,,
83,,TOP1,MAD1L1,,,,,,,,,,,,,
84,,WRN,ZNF207,,,,,,,,,,,,,
85,,EXO1,CENPU,,,,,,,,,,,,,
86,,TIPIN,,,,,,,,,,,,,,
87,,RECQL5,,,,,,,,,,,,,,
88,,PTMS,,,,,,,,,,,,,,
89,,SLX4,,,,,,,,,,,,,,
90,,NFIA,,,,,,,,,,,,,,
91,,CDK1,,,,,,,,,,,,,,
92,,RMI2,,,,,,,,,,,,,,
93,,MCM10,,,,,,,,,,,,,,
94,,RPA1,,,,,,,,,,,,,,
95,,RRM2B,,,,,,,,,,,,,,
96,,PCLAF,,,,,,,,,,,,,,
97,,TREX1,,,,,,,,,,,,,,
98,,NASP,,,,,,,,,,,,,,
99,,CDK2,,,,,,,,,,,,,,
100,,MCM2,,,,,,,,,,,,,,
101,,MRE11,,,,,,,,,,,,,,
102,,SUPT16H,,,,,,,,,,,,,,
103,,MCM9,,,,,,,,,,,,,,
104,,POLA2,,,,,,,,,,,,,,
105,,MCM4,,,,,,,,,,,,,,
106,,MCM6,,,,,,,,,,,,,,
107,,PIF1,,,,,,,,,,,,,,
108,,RBMS1,,,,,,,,,,,,,,
109,,TIMELESS,,,,,,,,,,,,,,
110,,CDC7,,,,,,,,,,,,,,
111,,HELB,,,,,,,,,,,,,,
112,,SSRP1,,,,,,,,,,,,,,
113,,DBF4,,,,,,,,,,,,,,
114,,RFC5,,,,,,,,,,,,,,
115,,DNA2,,,,,,,,,,,,,,
116,,POLE2,,,,,,,,,,,,,,
117,,RBBP4,,,,,,,,,,,,,,
118,,DSCC1,,,,,,,,,,,,,,
119,,BRIP1,,,,,,,,,,,,,,
120,,SET,,,,,,,,,,,,,,
121,,MCM7,,,,,,,,,,,,,,
122,,DHX9,,,,,,,,,,,,,,
123,,RBBP7,,,,,,,,,,,,,,
124,,POLI,,,,,,,,,,,,,,
125,,NBN,,,,,,,,,,,,,,
126,,NFIB,,,,,,,,,,,,,,
127,,TICRR,,,,,,,,,,,,,,
128,,UPF1,,,,,,,,,,,,,,